iter	Passed	Remaining
0	153	153695
1	155	77779
2	157	52371
3	159	39645
4	160	32003
5	162	26875
6	163	23206
7	164	20455
8	166	18295
9	167	16555
10	168	15189
11	170	14028
12	171	13038
13	173	12187
14	174	11456
15	175	10801
16	177	10237
17	178	9731
18	179	9271
19	180	8868
20	182	8511
21	184	8186
22	185	7876
23	186	7591
24	187	7329
25	189	7089
26	190	6858
27	191	6642
28	192	6446
29	193	6258
30	194	6095
31	196	5935
32	197	5788
33	198	5648
34	199	5511
35	200	5381
36	202	5262
37	203	5150
38	204	5041
39	205	4937
40	206	4841
41	208	4748
42	209	4662
43	210	4578
44	211	4497
45	212	4417
46	214	4343
47	215	4271
48	216	4200
49	217	4133
50	218	4068
51	219	4006
52	221	3957
53	223	3906
54	224	3855
55	225	3803
56	226	3752
57	228	3705
58	229	3655
59	230	3605
60	231	3558
61	232	3512
62	233	3473
63	234	3434
64	236	3396
65	237	3358
66	238	3321
67	239	3277
68	240	3240
69	241	3203
70	242	3167
71	243	3134
72	244	3100
73	245	3067
74	246	3039
75	247	3010
76	248	2983
77	250	2956
78	251	2931
79	252	2905
80	253	2879
81	254	2853
82	256	2828
83	257	2803
84	257	2774
85	259	2753
86	260	2728
87	261	2707
88	262	2687
89	263	2667
90	265	2647
91	266	2625
92	267	2605
93	268	2585
94	269	2565
95	270	2545
96	271	2526
97	272	2510
98	274	2494
99	275	2478
100	276	2461
101	277	2440
102	278	2424
103	279	2409
104	280	2393
105	281	2378
106	283	2364
107	284	2351
108	286	2339
109	287	2328
110	289	2317
111	291	2307
112	292	2297
113	294	2288
114	296	2279
115	297	2268
116	299	2261
117	301	2254
118	303	2243
119	304	2234
120	306	2224
121	307	2216
122	308	2201
123	310	2191
124	311	2183
125	314	2178
126	316	2173
127	318	2166
128	319	2157
129	321	2148
130	322	2141
131	324	2133
132	326	2126
133	327	2117
134	329	2108
135	330	2100
136	332	2091
137	333	2081
138	334	2074
139	336	2068
140	338	2061
141	340	2054
142	341	2048
143	343	2044
144	348	2053
145	350	2047
146	351	2041
147	357	2059
148	359	2053
149	361	2047
150	363	2042
151	364	2035
152	366	2027
153	368	2021
154	369	2014
155	370	2006
156	372	2000
157	374	1994
158	375	1987
159	377	1981
160	379	1977
161	380	1970
162	382	1963
163	384	1959
164	386	1956
165	388	1952
166	390	1946
167	392	1941
168	393	1935
169	395	1929
170	396	1922
171	398	1916
172	399	1909
173	400	1902
174	402	1896
175	403	1888
176	404	1880
177	405	1873
178	406	1866
179	408	1859
180	408	1850
181	410	1843
182	411	1837
183	412	1830
184	414	1824
185	415	1816
186	416	1810
187	417	1802
188	418	1796
189	419	1790
190	421	1783
191	422	1776
192	423	1769
193	424	1762
194	425	1756
195	426	1749
196	427	1742
197	428	1736
198	429	1729
199	430	1723
200	432	1718
201	433	1712
202	435	1708
203	436	1703
204	438	1698
205	439	1693
206	440	1688
207	441	1682
208	442	1676
209	444	1670
